english,french
I am planning a surprise for her birthday.,Je vais rendre visite à mes parents ce week-end.
He is taking a photography class.,Je veux apprendre à cuire.
I enjoy listening to podcasts during my commute.,Nous devrions aller au théâtre voir une pièce.
The kids are playing in the yard.,Les billets pour le concert se sont vendus en quelques minutes.
We should visit the museum this weekend.,Je planifie une surprise pour son anniversaire.
I am going to try a new recipe tonight.,Il prend un cours de photographie.
I need to buy a gift for my friend.,J'aime écouter des podcasts pendant mon trajet.
We are planning a family reunion.,Les enfants jouent dans le jardin.
She enjoys hiking in the mountains.,Nous devrions visiter le musée ce week-end.
He loves to play chess with his friends.,Je vais essayer une nouvelle recette ce soir.
I need to finish reading this book by tomorrow.,Je dois acheter un cadeau pour mon ami.
We should go to the beach this weekend.,Nous prévoyons une réunion de famille.
I love spending time in nature.,Elle aime faire de la randonnée en montagne.
She is planning to buy a new house soon.,Il adore jouer aux échecs avec ses amis.
I am going for a run this morning.,Je dois finir de lire ce livre d'ici demain.
The weather is perfect for a picnic today.,Nous devrions aller à la plage ce week-end.
I’m working on a project for school.,J'adore passer du temps dans la nature.
He is attending a business meeting this afternoon.,Elle prévoit d'acheter une nouvelle maison bientôt.
We are having a barbecue at home this weekend.,Je vais courir ce matin.
She is volunteering at an animal shelter.,Le temps est parfait pour un pique-nique aujourd'hui.
I enjoy painting in my free time.,Je travaille sur un projet pour l'école.
I need to fix my bike.,Il assiste à une réunion d'affaires cet après-midi.
We should go camping in the woods.,Nous faisons un barbecue chez nous ce week-end.
He is trying to learn a new language.,Elle fait du bénévolat dans un refuge pour animaux.
I love visiting museums and galleries.,J'aime peindre pendant mon temps libre.
She is taking a cooking class.,Je dois réparer mon vélo.
I’m thinking of getting a new phone.,Nous devrions aller camper dans les bois.
I am going to a friend's birthday party.,Il essaie d'apprendre une nouvelle langue.
We should watch a documentary tonight.,J'adore visiter des musées et des galeries.
He is fixing the car in the garage.,Elle suit un cours de cuisine.
She is practicing yoga every day.,Je pense m'acheter un nouveau téléphone.
I love spending time with my family on weekends.,Je vais à l'anniversaire d'un ami.
I am organizing my workspace today.,Nous devrions regarder un documentaire ce soir.
We should plan a trip to Europe next year.,Il répare la voiture dans le garage.
She loves hiking and climbing mountains.,Elle pratique le yoga tous les jours.
I’m going to a concert tonight.,J'adore passer du temps avec ma famille le week-end.
I enjoy making homemade pizza.,Je suis en train d'organiser mon espace de travail aujourd'hui.
He is working on a new business idea.,Nous devrions planifier un voyage en Europe l'année prochaine.
We should try the new restaurant in town.,Elle adore faire de la randonnée et grimper des montagnes.
I’m learning how to dance salsa.,Je vais à un concert ce soir.
I love reading books about history.,J'adore faire de la pizza maison.
She is going to the gym after work.,Il travaille sur une nouvelle idée d'entreprise.
I am planning a surprise dinner for my partner.,Nous devrions essayer le nouveau restaurant en ville.
We should take a weekend road trip.,J'apprends à danser la salsa.
I love to bake cakes and cookies.,J'adore lire des livres sur l'histoire.
She is going to a museum this afternoon.,Elle va à la salle de sport après le travail.
We need to buy new curtains for the living room.,Je prévois un dîner surprise pour mon partenaire.
He is attending a music festival this weekend.,Nous devrions faire un road trip le week-end.
I am going to try a new recipe for dinner.,J'adore faire des gâteaux et des biscuits.
She is meeting her friends for coffee.,Elle va à un musée cet après-midi.
We are thinking of adopting a pet.,Nous devons acheter de nouveaux rideaux pour le salon.
I’m going to the library this afternoon.,Il assiste à un festival de musique ce week-end.
She is working on a new art project.,Je vais essayer une nouvelle recette pour le dîner.
I love exploring new places in the city.,Elle rencontre ses amis pour un café.
We should go bowling this weekend.,Nous pensons adopter un animal.
I need to buy a new pair of shoes.,Je vais à la bibliothèque cet après-midi.
He is attending a lecture on artificial intelligence.,Elle travaille sur un nouveau projet artistique.
We should go on a cruise vacation.,J'adore explorer de nouveaux endroits en ville.
I am meeting my colleagues for lunch tomorrow.,Nous devrions aller faire du bowling ce week-end.
She is going to a job interview next week.,Je dois acheter une nouvelle paire de chaussures.
I enjoy taking photographs of the sunset.,Il assiste à une conférence sur l'intelligence artificielle.
We are planning a family picnic in the park.,Nous devrions partir en croisière pour les vacances.
I need to organize my closet.,Je déjeune avec mes collègues demain.
She is looking for a new job.,Elle a un entretien d'embauche la semaine prochaine.
I am going to try meditation to reduce stress.,J'aime prendre des photos du coucher du soleil.
We should visit a new country next summer.,Nous prévoyons un pique-nique en famille au parc.
I love attending live theater performances.,Je dois organiser mon placard.
I need to go shopping for groceries.,Elle cherche un nouvel emploi.
She is taking a pottery class this evening.,Je vais essayer la méditation pour réduire le stress.
I enjoy listening to classical music.,Nous devrions visiter un nouveau pays l'été prochain.
I’m working on my thesis for university.,J'adore assister à des spectacles en direct.
We are planning a surprise for his birthday.,Je dois aller faire des courses.
I love taking care of my garden.,Elle suit un cours de poterie ce soir.
She is going to a book club meeting.,J'aime écouter de la musique classique.
I enjoy cooking new dishes from different cuisines.,Je travaille sur ma thèse pour l'université.
I am going to visit my relatives this weekend.,Nous prévoyons une surprise pour son anniversaire.
We should go ice skating this winter.,J'adore m'occuper de mon jardin.
He is planning to move to a new city.,Elle va à une réunion de club de lecture.
I need to update my resume.,J'adore cuisiner de nouveaux plats de différentes cuisines.
She is reading a novel by her favorite author.,Je vais rendre visite à mes proches ce week-end.
We should go on a road trip to the countryside.,Nous devrions aller patiner cet hiver.
I’m planning a barbecue with my friends.,Il prévoit de déménager dans une nouvelle ville.
He is working on improving his presentation skills.,Je dois mettre à jour mon CV.
We should visit a new café in town.,Elle lit un roman de son auteur préféré.
I love traveling to new cities.,Nous devrions partir en road trip à la campagne.
She is studying for a medical exam.,Je prévois un barbecue avec mes amis.
I am going to a fitness class tomorrow.,Il travaille sur l'amélioration de ses compétences en présentation.
We are planning a vacation to the beach.,Nous devrions visiter un nouveau café en ville.
He is studying for his master's degree.,J'adore voyager dans de nouvelles villes.
I need to finish my work before the deadline.,Elle étudie pour un examen médical.
We should go to the zoo with the kids.,Je vais à un cours de fitness demain.
She is taking a photography workshop.,Nous prévoyons des vacances à la plage.
I love exploring different cuisines.,Il étudie pour son master.
I am going to start learning French.,Je dois finir mon travail avant la date limite.
He is attending a coding bootcamp.,Nous devrions aller au zoo avec les enfants.
We should visit the botanical garden this weekend.,Elle suit un atelier de photographie.
I’m going to a cooking class this weekend.,J'adore explorer différentes cuisines.
We should go to a farmers' market tomorrow.,Je vais commencer à apprendre le français.
He is learning how to play the guitar.,Il assiste à un bootcamp de codage.
She loves spending time in nature.,Nous devrions visiter le jardin botanique ce week-end.
I need to finish my project by the end of the week.,Je vais à un cours de cuisine ce week-end.
We should explore the city on foot this weekend.,Nous devrions aller au marché fermier demain.
He is working on his new novel.,Il apprend à jouer de la guitare.
I am taking a photography class.,Elle adore passer du temps dans la nature.
We should try a new workout routine.,Je dois terminer mon projet d'ici la fin de la semaine.
She is thinking of starting a new business.,Nous devrions explorer la ville à pied ce week-end.
I love drinking coffee in the morning.,Il travaille sur son nouveau roman.
He is going to a language exchange event.,Je prends un cours de photographie.
We should take a boat trip this summer.,Nous devrions essayer une nouvelle routine d'exercice.
She is attending a career fair tomorrow.,Elle envisage de créer une nouvelle entreprise.
I need to buy a new laptop.,J'adore boire du café le matin.
We should try a new adventure sport.,Il va à un événement d'échange linguistique.
He is studying engineering at university.,Nous devrions faire une excursion en bateau cet été.
I’m planning a surprise party for my friend.,Elle assiste à un salon de l'emploi demain.
She is reading a book on mindfulness.,Je dois acheter un nouvel ordinateur portable.
We should go on a hike next weekend.,Nous devrions essayer un nouveau sport d'aventure.
I’m learning how to play the piano.,Il étudie l'ingénierie à l'université.
She is preparing for a big presentation.,Je prévois une fête surprise pour mon ami.
We should visit the mountains during the winter holidays.,Elle lit un livre sur la pleine conscience.
I’m going to start painting again.,Nous devrions aller en randonnée le week-end prochain.
He is joining a soccer league.,Je suis en train d'apprendre à jouer du piano.
I am learning how to cook new recipes.,Elle se prépare pour une grande présentation.
She is taking a yoga retreat next month.,Nous devrions visiter les montagnes pendant les vacances d'hiver.
We should go horseback riding next weekend.,Je vais recommencer à peindre.
He is interested in learning about digital marketing.,Il rejoint une ligue de football.
I’m going to meet my friends for lunch.,Je suis en train d'apprendre à cuisiner de nouvelles recettes.
She is planning a trip to Japan next year.,Elle va suivre une retraite de yoga le mois prochain.
I need to clean my house today.,Nous devrions faire de l'équitation le week-end prochain.
We should go to a spa for relaxation.,Il s'intéresse à l'apprentissage du marketing numérique.
He is taking part in a marathon next month.,Je vais déjeuner avec mes amis.
I’m organizing a family reunion this summer.,Elle prévoit un voyage au Japon l'année prochaine.
She loves doing puzzles in her free time.,Je dois nettoyer ma maison aujourd'hui.
I need to prepare for an exam next week.,Nous devrions aller dans un spa pour nous détendre.
We should watch a movie together tonight.,Il participe à un marathon le mois prochain.
She is studying for her law degree.,Je vais organiser une réunion de famille cet été.
I’m thinking of getting a new pet.,Elle adore faire des puzzles pendant son temps libre.
He is participating in a cooking competition.,Je dois préparer un examen la semaine prochaine.
We should go to a comedy show this weekend.,Nous devrions regarder un film ensemble ce soir.
I love visiting art exhibitions.,Elle étudie pour son diplôme en droit.
She is learning how to bake cakes.,Je pense adopter un nouvel animal.
We should visit the new science museum in the city.,Il participe à un concours de cuisine.
I need to get some new clothes for winter.,Nous devrions aller à un spectacle de comédie ce week-end.
He is working on a research project.,J'adore visiter des expositions d'art.
We should go to a concert next month.,Elle apprend à faire des gâteaux.
I’m taking a dance class to improve my skills.,Nous devrions visiter le nouveau musée des sciences en ville.
She is attending a photography workshop.,Je dois acheter de nouveaux vêtements pour l'hiver.
We should go on a road trip along the coast.,Il travaille sur un projet de recherche.
He is learning how to ride a bike.,Nous devrions aller à un concert le mois prochain.
I love hiking in the mountains during the fall.,Je prends un cours de danse pour améliorer mes compétences.
She is working on a new design project.,Elle participe à un atelier de photographie.
We should try a new sport like tennis.,Nous devrions faire un road trip le long de la côte.
I’m planning to visit my family next month.,Il apprend à faire du vélo.
He is preparing for a job interview.,J'adore faire de la randonnée en montagne pendant l'automne.
We should go to a wine tasting event.,Elle travaille sur un nouveau projet de design.
I’m thinking of joining a book club.,Nous devrions essayer un nouveau sport comme le tennis.
She loves playing board games with her friends.,Je prévois de rendre visite à ma famille le mois prochain.
I am going to clean the garage this weekend.,Il se prépare pour un entretien d'embauche.
We should try a new recipe for dinner tonight.,Nous devrions aller à un événement de dégustation de vin.
He is planning to renovate his house.,Je pense rejoindre un club de lecture.
I love going to the beach during the summer.,Elle adore jouer à des jeux de société avec ses amis.
She is attending a dance performance this weekend.,Je vais nettoyer le garage ce week-end.
I’m learning how to meditate to reduce stress.,Nous devrions essayer une nouvelle recette pour le dîner ce soir.
We should go to a rooftop bar tonight.,Il prévoit de rénover sa maison.
He is studying for his final exams.,J'adore aller à la plage pendant l'été.
I love cooking meals for my friends and family.,Elle assiste à un spectacle de danse ce week-end.
She is planning to visit her grandmother.,Je suis en train d'apprendre à méditer pour réduire le stress.
I’m going to try a new hiking trail.,Nous devrions aller dans un bar sur le toit ce soir.
We should go to the park for a picnic.,Il étudie pour ses examens finaux.
He is participating in an online coding competition.,J'adore cuisiner des repas pour mes amis et ma famille.
I’m going to meet my friends at a café.,Elle prévoit de rendre visite à sa grand-mère.
We should visit a botanical garden next weekend.,Je vais essayer un nouveau sentier de randonnée.
I need to buy a new phone charger.,Nous devrions aller au parc pour un pique-nique.
She is working on a new fitness plan.,Il participe à une compétition de codage en ligne.
I love visiting historical sites during my travels.,Je vais rencontrer mes amis dans un café.
We should go bowling next Friday.,Nous devrions visiter un jardin botanique le week-end prochain.
He is taking a break from work this afternoon.,Je dois acheter un nouveau chargeur de téléphone.
I’m thinking of going to a comedy club tonight.,Elle travaille sur un nouveau plan de fitness.
She loves playing tennis in the evenings.,J'adore visiter des sites historiques pendant mes voyages.
We should explore a new city next month.,Nous devrions aller faire du bowling vendredi prochain.
I’m learning how to make sushi.,Il fait une pause au travail cet après-midi.
He is planning a surprise gift for his wife.,Je pense aller dans un club de comédie ce soir.
I’m going to start a new book this weekend.,Elle adore jouer au tennis le soir.
We should visit a new café for brunch.,Nous devrions explorer une nouvelle ville le mois prochain.
She loves going for a morning jog.,Je suis en train d'apprendre à faire des sushis.
I need to finish reading a chapter for my class.,Il prévoit un cadeau surprise pour sa femme.
We should take a trip to the mountains next winter.,Je vais commencer un nouveau livre ce week-end.
He is organizing a charity event.,Nous devrions visiter un nouveau café pour le brunch.
I’m thinking of joining a local gym.,Elle adore faire du jogging le matin.
She is learning how to knit scarves.,Je dois finir de lire un chapitre pour ma classe.
I need to buy groceries for the week.,Nous devrions partir en voyage dans les montagnes l'hiver prochain.
We should go to a jazz concert this weekend.,Il organise un événement de charité.
He is taking an online marketing course.,Je pense rejoindre un gymnase local.
I’m going to start a new workout challenge.,Elle apprend à tricoter des écharpes.
She loves trying new cuisines.,Je dois acheter des courses pour la semaine.
We should take a pottery class together.,Nous devrions aller à un concert de jazz ce week-end.
I’m planning to visit the zoo tomorrow.,Il suit un cours de marketing en ligne.
He is working on a project for school.,Je vais commencer un nouveau défi d'entraînement.
I need to clean my car this weekend.,Elle adore essayer de nouvelles cuisines.
She loves to play chess in her free time.,Nous devrions prendre un cours de poterie ensemble.
We should try a new restaurant for dinner.,Je prévois de visiter le zoo demain.
I’m thinking of buying a new camera.,Il travaille sur un projet pour l'école.
She is taking a break from social media.,Je dois nettoyer ma voiture ce week-end.
We should visit the art gallery next month.,Elle adore jouer aux échecs pendant son temps libre.
He is attending a startup event.,Nous devrions essayer un nouveau restaurant pour le dîner.
I’m learning how to juggle.,Je pense acheter un nouvel appareil photo.
She loves walking her dog in the park.,Elle fait une pause des réseaux sociaux.
We should go for a swim at the pool.,Nous devrions visiter la galerie d'art le mois prochain.
I’m attending a fitness class tomorrow.,Il assiste à un événement pour les startups.
He is participating in a painting competition.,Je suis en train d'apprendre à jongler.
I’m thinking of getting a new pair of shoes.,Elle adore promener son chien dans le parc.
She is planning to redecorate her living room.,Nous devrions aller nager à la piscine.
We should go on a camping trip this summer.,Je vais participer à un cours de fitness demain.
He is training for a triathlon.,Il participe à un concours de peinture.
I’m trying out a new yoga routine.,Je pense acheter une nouvelle paire de chaussures.
We should visit a new city this winter.,Elle prévoit de redécorer son salon.
She is working on a graphic design project.,Nous devrions partir en camping cet été.
I’m going to try a new recipe tonight.,Il s'entraîne pour un triathlon.
We should go on a bike ride this weekend.,Je suis en train d'essayer une nouvelle routine de yoga.
He is studying to become a lawyer.,Nous devrions visiter une nouvelle ville cet hiver.
She is preparing for a big exam next month.,Elle travaille sur un projet de design graphique.
I’m planning to go to the beach next weekend.,Je vais essayer une nouvelle recette ce soir.
We should visit a new cafe in town.,Nous devrions aller faire du vélo ce week-end.
He is volunteering at an animal shelter.,Il étudie pour devenir avocat.
I’m going to buy a new phone.,Elle se prépare pour un grand examen le mois prochain.
She is working on a project for work.,Je prévois de me rendre à la plage le week-end prochain.
We should go ice skating next winter.,Nous devrions visiter un nouveau café en ville.
He is taking a break from work to travel.,Il fait du bénévolat dans un refuge pour animaux.
I need to organize my bookshelf.,Je vais acheter un nouveau téléphone.
We should visit a nearby national park.,Elle travaille sur un projet pour son travail.
She is learning how to play the drums.,Nous devrions aller patiner cet hiver.
I’m planning to go to a concert next month.,Il fait une pause du travail pour voyager.
He is taking a cooking class.,Je dois organiser ma bibliothèque.
We should go to a museum this weekend.,Nous devrions visiter un parc national à proximité.
I’m thinking of getting a new backpack.,Elle apprend à jouer de la batterie.
She loves playing video games in her free time.,Je prévois d'aller à un concert le mois prochain.
We should take a scenic drive.,Il suit un cours de cuisine.
I’m trying out a new skincare routine.,Nous devrions aller au musée ce week-end.
He is working on a business plan.,Je pense acheter un nouveau sac à dos.
We should go to a football game next month.,Elle adore jouer à des jeux vidéo pendant son temps libre.
She is attending a business seminar.,Nous devrions faire une promenade panoramique.
I need to buy a new watch.,Je suis en train d'essayer une nouvelle routine de soins de la peau.
We should go hiking in the mountains.,Il travaille sur un plan d'affaires.
He is attending a photography course.,Nous devrions aller à un match de football le mois prochain.
I’m going to try a new hobby this year.,Elle participe à un séminaire d'affaires.
She is taking a course on digital photography.,Je dois acheter une nouvelle montre.
We should visit a new park in the city.,Nous devrions aller en randonnée dans les montagnes.
I’m planning to learn how to surf.,Il suit un cours de photographie.
He is participating in a football league.,Je prévois d'essayer un nouveau passe-temps cette année.
We should go to a new restaurant for lunch.,Elle suit un cours de photographie numérique.
She loves going to concerts with her friends.,Nous devrions visiter un nouveau parc en ville.
I’m thinking of going to a cooking competition.,Je prévois d'apprendre à surfer.
We should visit the aquarium this weekend.,Il participe à une ligue de football.
He is training to be a professional athlete.,Nous devrions aller à un nouveau restaurant pour le déjeuner.
I’m learning how to code in Python.,Elle adore aller à des concerts avec ses amis.
She is planning a surprise gift for her friend.,Je pense aller à un concours de cuisine.
We should visit a new town next holiday.,Nous devrions visiter l'aquarium ce week-end.
He is taking a break from work to study abroad.,Il s'entraîne pour devenir un athlète professionnel.
I’m thinking of joining a meditation group.,Je suis en train d'apprendre à coder en Python.
We should try a new type of cuisine.,Elle prévoit un cadeau surprise pour son amie.
She is studying to become a teacher.,Nous devrions visiter une nouvelle ville pendant les vacances.
I need to go to the dentist for a check-up.,Il fait une pause au travail pour étudier à l'étranger.
We should visit the zoo next week.,Je pense rejoindre un groupe de méditation.
He is working on a new music album.,Nous devrions essayer une nouvelle cuisine.
I’m planning to join a community center.,Elle étudie pour devenir enseignante.
She is taking a pottery class this month.,Je dois aller chez le dentiste pour un contrôle.
I need to buy a new camera for my trip.,Nous devrions visiter le zoo la semaine prochaine.
We should go to the theater next weekend.,Il travaille sur un nouvel album de musique.
I’m going to a pottery workshop tomorrow.,Je prévois de rejoindre un centre communautaire.
He is thinking of getting a new car.,Elle prend un cours de poterie ce mois-ci.
I’m planning a hiking trip for next summer.,Je dois acheter un nouvel appareil photo pour mon voyage.
She loves playing the piano.,Nous devrions aller au théâtre le week-end prochain.
We should go for a walk in the park this evening.,Je vais à un atelier de poterie demain.
I’m taking a break from work to travel around Europe.,Il pense acheter une nouvelle voiture.
He is preparing for a big job interview.,Je prévois un voyage de randonnée pour l'été prochain.
We should go to a concert this weekend.,Elle adore jouer du piano.
I’m thinking of trying a new sport.,Nous devrions aller nous promener dans le parc ce soir.
She is planning a road trip across the country.,Je prends une pause du travail pour voyager à travers l'Europe.
I need to clean my house this weekend.,Il se prépare pour un grand entretien d'embauche.
We should try a new workout class together.,Nous devrions aller à un concert ce week-end.
I’m learning how to cook Italian food.,Je pense essayer un nouveau sport.
He is reading a book about history.,Elle prévoit un voyage en voiture à travers le pays.
We should visit a new museum in the city.,Je dois nettoyer ma maison ce week-end.
She is practicing for a dance competition.,Nous devrions essayer un nouveau cours de sport ensemble.
I’m going to join a local running club.,J'apprends à cuisiner des plats italiens.
He is learning how to play the guitar.,Il lit un livre sur l'histoire.
We should go to a wine tasting event.,Nous devrions visiter un nouveau musée en ville.
I’m thinking of starting a new hobby this year.,Elle s'entraîne pour une compétition de danse.
She is taking a painting class.,Je vais rejoindre un club de course local.
We should go to a food festival next month.,Il apprend à jouer de la guitare.
I’m going to try a new sport this summer.,Nous devrions aller à un événement de dégustation de vins.
He is learning how to make cocktails.,Je pense commencer un nouveau passe-temps cette année.
We should go to a comedy show this weekend.,Elle prend un cours de peinture.
She is planning a surprise party for her friend.,Nous devrions aller à un festival de nourriture le mois prochain.
I’m thinking of buying a new laptop.,Je vais essayer un nouveau sport cet été.
We should go on a weekend getaway soon.,Il apprend à faire des cocktails.
He is practicing for a speech competition.,Nous devrions aller à un spectacle de comédie ce week-end.
I’m planning a visit to the countryside this summer.,Elle prévoit une fête surprise pour son amie.
She is taking a photography course.,Je pense acheter un nouvel ordinateur portable.
We should go to a farmer’s market next week.,Nous devrions partir en escapade ce week-end.
He is planning a trip to Japan.,Il se prépare pour un concours de discours.
I’m learning how to bake bread from scratch.,Je prévois de visiter la campagne cet été.
She loves visiting new cafes in the city.,Elle suit un cours de photographie.
We should take a pottery class together.,Nous devrions aller à un marché de producteurs la semaine prochaine.
I’m thinking of trying out a new yoga studio.,Il prévoit un voyage au Japon.
He is working on a digital art project.,J'apprends à faire du pain maison.
I’m attending a conference next week.,Elle adore visiter de nouveaux cafés en ville.
She is participating in a charity run.,Nous devrions prendre un cours de poterie ensemble.
We should try a new restaurant this weekend.,Je pense essayer un nouveau studio de yoga.
I’m planning to start a blog this year.,Il travaille sur un projet d'art numérique.
She is working on a fashion design project.,Je participe à une conférence la semaine prochaine.
We should go to a rooftop bar this Friday.,Elle participe à une course caritative.
I’m going to take a dance class next month.,Nous devrions essayer un nouveau restaurant ce week-end.
He is volunteering at a local shelter.,Je prévois de commencer un blog cette année.
We should go to a food truck festival.,Elle travaille sur un projet de design de mode.
I’m planning a visit to a botanical garden.,Nous devrions aller à un bar sur le toit ce vendredi.
She is taking a pottery workshop next week.,Je vais suivre un cours de danse le mois prochain.
We should go hiking in the mountains this weekend.,Il fait du bénévolat dans un refuge local.
I’m thinking of buying a new bike.,Nous devrions aller à un festival de food trucks.
She is working on a graphic design portfolio.,Je prévois de visiter un jardin botanique.
We should go to a live concert next month.,Elle prend un atelier de poterie la semaine prochaine.
I’m attending a business conference next week.,Nous devrions faire une randonnée dans les montagnes ce week-end.
We should go to an outdoor movie screening this weekend.,Je pense acheter un nouveau vélo.
He is preparing for a big presentation.,Elle travaille sur un portfolio de design graphique.
I’m planning to take a cooking class soon.,Nous devrions aller à un concert en direct le mois prochain.
She is taking a break from work to travel the world.,Je participe à une conférence d'affaires la semaine prochaine.
We should visit a new art exhibit in town.,Nous devrions aller à une projection de film en plein air ce week-end.
I’m thinking of redecorating my bedroom.,Il se prépare pour une grande présentation.
She is learning how to play the piano.,Je prévois de suivre un cours de cuisine bientôt.
We should take a weekend trip to the beach.,Elle fait une pause du travail pour voyager dans le monde.
I’m planning to try a new hobby this year.,Nous devrions visiter une nouvelle exposition d'art en ville.
She is working on a photography project.,Je pense redécorer ma chambre.
We should visit a new park in the city.,Elle apprend à jouer du piano.
I’m taking a break from work to focus on my health.,Nous devrions partir en week-end à la plage.
We should go to a new coffee shop this weekend.,Je prévois d'essayer un nouveau passe-temps cette année.
She is preparing for an important job interview.,Elle travaille sur un projet de photographie.
I’m thinking of signing up for a marathon.,Nous devrions visiter un nouveau parc en ville.
He is working on a new startup idea.,Je prends une pause du travail pour me concentrer sur ma santé.
We should go on a road trip next holiday.,Nous devrions aller dans un nouveau café ce week-end.
I’m planning a visit to a historical site.,Elle se prépare pour un entretien d'embauche important.
She is attending a virtual cooking class.,Je pense m'inscrire à un marathon.
We should visit a new spa for a weekend retreat.,Il travaille sur une nouvelle idée de startup.
I’m learning how to bake cakes.,Nous devrions partir en voyage en voiture pendant les vacances.
He is taking a break from work to study abroad.,Je prévois de visiter un site historique.
We should go to a new museum exhibit this month.,Elle suit un cours de cuisine en ligne.
She is volunteering at an animal rescue organization.,Nous devrions aller dans un nouveau spa pour un week-end de retraite.
I’m thinking of going to a music festival next year.,J'apprends à faire des gâteaux.
We should take a cooking class together.,Il fait une pause du travail pour étudier à l'étranger.
I’m planning a visit to a vineyard.,Nous devrions visiter une nouvelle exposition de musée ce mois-ci.
He is practicing for a talent show.,Elle fait du bénévolat dans une organisation de secours pour animaux.
We should go for a run in the park this weekend.,Je pense aller à un festival de musique l'année prochaine.
I’m learning how to make my own jewelry.,Nous devrions suivre un cours de cuisine ensemble.
She is planning to redecorate her apartment.,Je prévois de visiter un vignoble.
We should go on a weekend hiking trip.,Il s'entraîne pour un spectacle de talents.
I’m thinking of buying a new camera lens.,Nous devrions aller courir dans le parc ce week-end.
She is taking a design thinking course.,J'apprends à faire mes propres bijoux.
We should go to a new restaurant for brunch.,Elle prévoit de redécorer son appartement.
He is taking a break from work to focus on his fitness.,Nous devrions partir en randonnée pendant le week-end.
We should visit a new city this summer.,Je pense acheter un nouvel objectif pour mon appareil photo.
I’m planning to go camping this weekend.,Elle suit un cours de design thinking.
She is working on a freelance project.,Nous devrions aller dans un nouveau restaurant pour le brunch.
We should go to a new yoga studio together.,Il fait une pause du travail pour se concentrer sur sa forme physique.
I’m learning how to create digital illustrations.,Nous devrions visiter une nouvelle ville cet été.
She is taking a break from social media.,Je prévois de partir en camping ce week-end.
We should go to a new art gallery.,Elle travaille sur un projet freelance.
I’m planning a trip to a new city this year.,Nous devrions aller dans un nouveau studio de yoga ensemble.
She is working on a new business idea.,J'apprends à créer des illustrations numériques.
We should take a weekend trip to the mountains.,Elle fait une pause des réseaux sociaux.
I’m learning how to play a new instrument.,Nous devrions aller dans une nouvelle galerie d'art.
She is writing a book on personal development.,Je prévois un voyage dans une nouvelle ville cette année.
We should try a new hiking trail next weekend.,Elle travaille sur une nouvelle idée d'entreprise.
I’m attending a cooking workshop next month.,Nous devrions partir en week-end dans les montagnes.
He is starting a new fitness program.,J'apprends à jouer d'un nouvel instrument.
We should visit a new theme park this summer.,Elle écrit un livre sur le développement personnel.
I’m planning to start a podcast soon.,Nous devrions essayer un nouveau sentier de randonnée le week-end prochain.
She is attending a tech conference next week.,Je participe à un atelier de cuisine le mois prochain.
We should go to a new restaurant this Friday.,Il commence un nouveau programme de fitness.
I’m thinking of taking a photography class.,Nous devrions visiter un nouveau parc d'attractions cet été.
She is working on a home renovation project.,Je prévois de commencer un podcast bientôt.
We should take a weekend road trip to the coast.,Elle assiste à une conférence technologique la semaine prochaine.
I’m learning how to code in Python.,Nous devrions aller dans un nouveau restaurant ce vendredi.
She is planning to open a new café.,Je pense suivre un cours de photographie.
We should go to a live theater performance next month.,Elle travaille sur un projet de rénovation de maison.
I’m learning how to make my own candles.,Nous devrions partir en week-end en voiture jusqu'à la côte.
She is working on a new fashion collection.,J'apprends à coder en Python.
We should go to a new bookshop this weekend.,Elle prévoit d'ouvrir un nouveau café.
I’m planning a visit to the mountains next spring.,Nous devrions aller voir une performance théâtrale le mois prochain.
She is taking an online course in digital marketing.,J'apprends à fabriquer mes propres bougies.
We should try a new sport together.,Elle travaille sur une nouvelle collection de mode.
I’m thinking of redecorating my living room.,Nous devrions aller dans une nouvelle librairie ce week-end.
She is learning how to build a website.,Je prévois de visiter les montagnes au printemps prochain.
We should go to a new comedy club this weekend.,Elle suit un cours en ligne de marketing numérique.
I’m planning a trip to the beach this summer.,Nous devrions essayer un nouveau sport ensemble.
He is starting a new project at work.,Je pense redécorer mon salon.
We should try a new escape room experience.,Elle apprend à créer un site web.
I’m learning how to knit this winter.,Nous devrions aller dans un nouveau club de comédie ce week-end.
She is working on a fitness challenge this month.,Je prévois un voyage à la plage cet été.
We should go to a new art gallery next weekend.,Il commence un nouveau projet au travail.
I’m planning a visit to a vineyard this fall.,Nous devrions essayer une nouvelle expérience de salle d'évasion.
She is taking a course in graphic design.,J'apprends à tricoter cet hiver.
We should go to a new concert next month.,Elle travaille sur un défi de fitness ce mois-ci.
I’m learning how to play chess.,Nous devrions aller dans une nouvelle galerie d'art le week-end prochain.
She is working on her resume for a new job.,Je prévois de visiter un vignoble cet automne.
We should go on a weekend hike in the countryside.,Elle suit un cours de design graphique.
I’m planning to start a YouTube channel soon.,Nous devrions aller à un nouveau concert le mois prochain.
She is taking a cooking class to improve her skills.,J'apprends à jouer aux échecs.
We should visit a new aquarium this summer.,Elle travaille sur son CV pour un nouvel emploi.
I’m learning how to make my own soap.,Nous devrions faire une randonnée le week-end dans la campagne.
She is working on a writing project.,Je prévois de commencer une chaîne YouTube bientôt.
We should go to a new spa next month.,Elle prend un cours de cuisine pour améliorer ses compétences.
I’m planning to try a new workout routine.,Nous devrions visiter un nouvel aquarium cet été.
She is taking an online course in photography.,J'apprends à fabriquer mon propre savon.
We should visit a new restaurant downtown.,Elle travaille sur un projet d'écriture.
